,hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,Month,Year
0,True,मंगलवार 1 जून,1 जून,1622505600000.0,00.00,"मंगलवार 1 जून 2021, 00.00 — 06.00",14,Haze.,30,27,1000,7,320,64,6,2021
1,uk,uk,uk,1622527200000.0,06.00,"मंगलवार 1 जून 2021, 06.00 — 12.00",2,Scattered clouds.,35,28,1002,0,0,60,6,2021
2,uk,uk,uk,1622548800000.0,12.00,"मंगलवार 1 जून 2021, 12.00 — 18.00",1,Sunny.,37,35,1000,4,340,42,6,2021
3,uk,uk,uk,1622570400000.0,18.00,"मंगलवार 1 जून 2021, 18.00 — 00.00",14,Passing clouds.,32,30,1002,0,0,58,6,2021
4,True,बुधवार 2 जून,2 जून,1622592000000.0,00.00,"बुधवार 2 जून 2021, 00.00 — 06.00",14,Haze.,29,28,1003,0,0,66,6,2021
5,uk,uk,uk,1622613600000.0,06.00,"बुधवार 2 जून 2021, 06.00 — 12.00",1,Sunny.,34,32,1003,0,0,46,6,2021
6,uk,uk,uk,1622635200000.0,12.00,"बुधवार 2 जून 2021, 12.00 — 18.00",1,Sunny.,39,39,1001,0,0,30,6,2021
7,uk,uk,uk,1622656800000.0,18.00,"बुधवार 2 जून 2021, 18.00 — 00.00",13,Clear.,33,29,1004,0,0,42,6,2021
8,True,गुरुवार 3 जून,3 जून,1622678400000.0,00.00,"गुरुवार 3 जून 2021, 00.00 — 06.00",13,Clear.,28,27,1004,0,0,52,6,2021
9,uk,uk,uk,1622700000000.0,06.00,"गुरुवार 3 जून 2021, 06.00 — 12.00",2,Scattered clouds.,38,33,1004,1,270,28,6,2021
10,uk,uk,uk,1622721600000.0,12.00,"गुरुवार 3 जून 2021, 12.00 — 18.00",2,Scattered clouds.,40,40,1002,0,0,24,6,2021
11,uk,uk,uk,1622743200000.0,18.00,"गुरुवार 3 जून 2021, 18.00 — 00.00",14,Passing clouds.,31,31,1005,0,0,53,6,2021
12,True,शुक्रवार 4 जून,4 जून,1622764800000.0,00.00,"शुक्रवार 4 जून 2021, 00.00 — 06.00",14,Passing clouds.,31,29,1004,0,0,56,6,2021
13,uk,uk,uk,1622786400000.0,06.00,"शुक्रवार 4 जून 2021, 06.00 — 12.00",6,Partly sunny.,38,33,1005,0,0,42,6,2021
14,uk,uk,uk,1622808000000.0,12.00,"शुक्रवार 4 जून 2021, 12.00 — 18.00",7,Overcast.,40,38,1001,0,0,31,6,2021
15,uk,uk,uk,1622829600000.0,18.00,"शुक्रवार 4 जून 2021, 18.00 — 00.00",14,Passing clouds.,33,32,1003,1,230,49,6,2021
16,True,शनिवार 5 जून,5 जून,1622851200000.0,00.00,"शनिवार 5 जून 2021, 00.00 — 06.00",14,Passing clouds.,31,30,1003,3,230,51,6,2021
17,uk,uk,uk,1622872800000.0,06.00,"शनिवार 5 जून 2021, 06.00 — 12.00",7,Overcast.,32,30,1004,0,0,58,6,2021
18,uk,uk,uk,1622894400000.0,12.00,"शनिवार 5 जून 2021, 12.00 — 18.00",6,Partly sunny.,37,36,1001,0,0,38,6,2021
19,uk,uk,uk,1622916000000.0,18.00,"शनिवार 5 जून 2021, 18.00 — 00.00",14,Passing clouds.,32,30,1003,0,0,53,6,2021
20,True,रविवार 6 जून,6 जून,1622937600000.0,00.00,"रविवार 6 जून 2021, 00.00 — 06.00",14,Passing clouds.,30,29,1003,0,0,62,6,2021
21,uk,uk,uk,1622959200000.0,06.00,"रविवार 6 जून 2021, 06.00 — 12.00",6,Partly sunny.,37,32,1004,2,270,46,6,2021
22,uk,uk,uk,1622980800000.0,12.00,"रविवार 6 जून 2021, 12.00 — 18.00",2,Scattered clouds.,39,39,1001,4,270,31,6,2021
23,uk,uk,uk,1623002400000.0,18.00,"रविवार 6 जून 2021, 18.00 — 00.00",13,Clear.,34,31,1002,0,0,54,6,2021
24,True,सोमवार 7 जून,7 जून,1623024000000.0,00.00,"सोमवार 7 जून 2021, 00.00 — 06.00",1,Sunny.,31,31,1001,0,0,50,6,2021
25,uk,uk,uk,1623045600000.0,06.00,"सोमवार 7 जून 2021, 06.00 — 12.00",1,Sunny.,39,35,1002,9,270,39,6,2021
26,uk,uk,uk,1623067200000.0,12.00,"सोमवार 7 जून 2021, 12.00 — 18.00",6,Partly sunny.,41,41,997,10,270,24,6,2021
27,uk,uk,uk,1623088800000.0,18.00,"सोमवार 7 जून 2021, 18.00 — 00.00",13,Clear.,35,32,998,0,0,48,6,2021
28,True,मंगलवार 8 जून,8 जून,1623110400000.0,00.00,"मंगलवार 8 जून 2021, 00.00 — 06.00",13,Clear.,33,33,998,2,230,44,6,2021
